iter	MultiClass
0	1.701257707
1	1.623807151
2	1.572830196
3	1.528824288
4	1.488086346
5	1.456217135
6	1.420725243
7	1.389019686
8	1.366488934
9	1.34425071
10	1.324937343
11	1.304021833
12	1.286905846
13	1.267848102
14	1.254738316
15	1.244500323
16	1.23058117
17	1.21745171
18	1.207083739
19	1.20193313
20	1.190459067
21	1.181160584
22	1.172639843
23	1.16308846
24	1.157540532
25	1.152294929
26	1.147080837
27	1.137261807
28	1.130744442
29	1.126530994
30	1.120117732
31	1.11350444
32	1.109147574
33	1.102787703
34	1.099271511
35	1.093613674
36	1.088063598
37	1.082949634
38	1.074169232
39	1.068588784
40	1.06351982
41	1.05687658
42	1.053743766
43	1.050633627
44	1.045976925
45	1.04031718
46	1.036291088
47	1.029019432
48	1.025784355
49	1.019526965
50	1.015887668
51	1.011147281
52	1.008846632
53	1.00615941
54	1.002054707
55	0.9959375622
56	0.9921411999
57	0.9875432222
58	0.9855785757
59	0.9823460769
60	0.9803563144
61	0.9760625019
62	0.9718459103
63	0.9676756519
64	0.9651301336
65	0.9625953454
66	0.9592119013
67	0.9540044429
68	0.9510594092
69	0.9477873047
70	0.944557554
71	0.9417426218
72	0.9359623597
73	0.9309669511
74	0.9277003222
75	0.9231101949
76	0.9194872723
77	0.9145574932
78	0.9112204704
79	0.9074572405
80	0.9039120424
81	0.9003077474
82	0.898706539
83	0.8965018688
84	0.8931825255
85	0.8903984598
86	0.8873893035
87	0.8841331219
88	0.8802099828
89	0.8757254867
90	0.8730438553
91	0.8696997009
92	0.867190654
93	0.8628526723
94	0.8587264589
95	0.8542619439
96	0.8508398192
97	0.8470308285
98	0.8439852637
99	0.8391885471
