iter	Passed	Remaining
0	8513	842864
1	15968	782461
2	22049	712940
3	29917	718031
4	37124	705365
5	45994	720579
6	53185	706604
7	59515	684431
8	67533	682842
9	75578	680206
10	85020	687896
11	95677	701633
12	106147	710369
13	113244	695641
14	121100	686236
15	127987	671933
16	137776	672672
17	149149	679457
18	159666	680682
19	167534	670138
20	174336	655837
21	181721	644285
22	192258	643647
23	200685	635502
24	209872	629617
25	219893	625850
26	229654	620918
27	239182	615041
28	247881	606882
29	256014	597367
30	265788	591593
31	274513	583340
32	282462	573485
33	289513	561996
34	297413	552339
35	306127	544227
36	313821	534344
37	320991	523722
38	327424	512126
39	335277	502916
40	342397	492718
41	349726	482955
42	356224	472203
43	364204	463533
44	371985	454648
45	379543	445551
46	386748	436120
47	393328	426105
48	401211	417587
49	408977	408977
50	414823	398555
51	422571	390065
52	428972	380409
53	435536	371012
54	442151	361759
55	449181	352928
56	456833	344628
57	464649	336470
58	472647	328450
59	480754	320502
60	487973	311982
61	495598	303753
62	502645	295204
63	511388	287655
64	520550	280296
65	530583	273330
66	540623	266277
67	548935	258322
68	558818	251063
69	566331	242713
70	574787	234772
71	584769	227410
72	594278	219801
73	601354	211286
74	611339	203779
75	620131	195831
76	629812	188125
77	639414	180347
78	648413	172362
79	655551	163887
80	664279	155818
81	672463	147613
82	679687	139213
83	686711	130802
84	694964	122640
85	702911	114427
86	711476	106312
87	720513	98251
88	729868	90208
89	739780	82197
90	747986	73976
91	756558	65787
92	763732	57485
93	773838	49393
94	781372	41124
95	788926	32871
96	796008	24618
97	802783	16383
98	810658	8188
99	818729	0
