id,budget,imdb_id,original_language,original_title,overview,popularity,release_date,runtime,status,tagline,title,revenue,genres_extracted,keywords_extracted,top_cast,directors,production_companies_extracted,production_countries_extracted,spoken_languages_extracted,collection_name
1,14000000.0,tt2637294,en,Hot Tub Time Machine 2,"When Lou, who has become the father of the Internet, is shot by an unknown assailant, Jacob and Nick fire up the time machine again to save their friend.",6.575393,2015-02-20,93.0,Released,The Laws of Space and Time are About to be Violated.,Hot Tub Time Machine 2,12314651,Comedy,"time travel, sequel, hot tub, duringcreditsstinger","Rob Corddry, Craig Robinson, Clark Duke",Steve Pink,"Paramount Pictures, United Artists, Metro-Goldwyn-Mayer (MGM)",United States of America,English,Hot Tub Time Machine Collection
2,40000000.0,tt0368933,en,The Princess Diaries 2: Royal Engagement,"Mia Thermopolis is now a college graduate and on her way to Genovia to take up her duties as princess. Her best friend Lilly also joins her for the summer. Mia continues her 'princess lessons'- riding horses side-saddle, archery, and other royal. But her complicated life is turned upside down once again when she not only learns that she is to take the crown as queen earlier than expected...",8.248895,2004-08-06,113.0,Released,It can take a lifetime to find true love; she's got 30 days!,The Princess Diaries 2: Royal Engagement,95149435,"Comedy, Drama, Family, Romance","coronation, duty, marriage, falling in love","Anne Hathaway, Julie Andrews, Héctor Elizondo",Garry Marshall,Walt Disney Pictures,United States of America,English,The Princess Diaries Collection
3,3300000.0,tt2582802,en,Whiplash,"Under the direction of a ruthless instructor, a talented young drummer begins to pursue perfection at any cost, even his humanity.",64.29999,2014-10-10,105.0,Released,The road to greatness can take you to the edge.,Whiplash,13092000,Drama,"jazz, obsession, conservatory, music teacher, new york city, violence, montage, drummer, public humiliation, jazz band, young adult, music school","Miles Teller, J.K. Simmons, Melissa Benoist",Damien Chazelle,"Bold Films, Blumhouse Productions, Right of Way Films",United States of America,English,
4,1200000.0,tt1821480,hi,Kahaani,"Vidya Bagchi (Vidya Balan) arrives in Kolkata from London to find her missing husband Arnab Bagchi. Seven months pregnant and alone in a festive city, she begins a relentless search for her husband. With nothing to rely on except fragments from her memories about him, all clues seem to reach a dead end when everyone tries to convince Vidya that her husband does not exist. She slowly realises that nothing is what it seems. In a city soaked in lies, Vidya is determined to unravel the truth about her husband - for herself and her unborn child - even at the cost of her own life.",3.174936,2012-03-09,122.0,Released,,Kahaani,16000000,"Thriller, Drama","mystery, bollywood, police corruption, crime, india, missing husband, nerve gas","Vidya Balan, Nawazuddin Siddiqui, Parambrata Chatterjee",Sujoy Ghosh,,India,"English, हिन्दी",
5,16000000.0,tt1380152,ko,마린보이,"Marine Boy is the story of a former national swimmer who finds himself in debt, and out of desperation is employed as a mule by a gangster boss, smuggling drugs by sea.",1.14807,2009-02-05,118.0,Released,,Marine Boy,3923970,"Action, Thriller",,"Kim Kang-woo, Jo Jae-hyeon, Park Si-yeon",Jong-seok Yoon,,South Korea,한국어/조선말,
6,8000000.0,tt0093743,en,Pinocchio and the Emperor of the Night,"Pinocchio and his friends, a glow worm and a marionette, search for a magic music box. However, so are the evil Scalawag and the Emperor of the Night.",0.743274,1987-08-06,83.0,Released,,Pinocchio and the Emperor of the Night,3261638,"Animation, Adventure, Family",,"Scott Grimes, Tom Bosley, Rickie Lee Jones",Hal Sutherland,,,English,
7,14000000.0,tt0431021,en,The Possession,"A young girl buys an antique box at a yard sale, unaware that inside the collectible lives a malicious ancient spirit. The girl's father teams with his ex-wife to find a way to end the curse upon their child.",7.286477,2012-08-30,92.0,Released,Fear The Demon That Doesn't Fear God,The Possession,85446075,"Horror, Thriller",,"Jeffrey Dean Morgan, Natasha Calis, Madison Davenport",Ole Bornedal,"Ghost House Pictures, North Box Productions","United States of America, Canada",English,
8,16000000.0,tt0391024,en,Control Room,"A chronicle which provides a rare window into the international perception of the Iraq War, courtesy of Al Jazeera, the Arab world's most popular news outlet. Roundly criticized by Cabinet members and Pentagon officials for reporting with a pro-Iraqi bias, and strongly condemned for frequently airing civilian causalities as well as footage of American POWs, the station has revealed (and continues to show the world) everything about the Iraq War that the Bush administration did not want it to see.",1.949044,2004-01-15,84.0,Released,Different channels. Different truths.,Control Room,2586511,Documentary,"journalism, translation, television, manipulation of the media, iraq, reporter, woman director","Samir Khader, Josh Rushing, George W. Bush",Jehane Noujaim,,,"العربية, English",
9,16000000.0,tt0117110,en,Muppet Treasure Island,"After telling the story of Flint's last journey to young Jim Hawkins, Billy Bones has a heart attack and dies just as Jim and his friends are attacked by pirates. The gang escapes into the town where they hire out a boat and crew to find the hidden treasure, which was revealed by Bones before he died. On their voyage across the seas, they soon find out that not everyone on board can be trusted.",6.902423,1996-02-16,100.0,Released,Set sail for Muppet mayhem!,Muppet Treasure Island,34327391,"Action, Comedy, Music, Family, Adventure","island, pirate gang, puppet, treasure hunt","Tim Curry, Kevin Bishop, Jennifer Saunders",Brian Henson,"Walt Disney Pictures, Jim Henson Productions, Jim Henson Company, The",United States of America,English,The Muppet Collection
10,6000000.0,tt0310281,en,A Mighty Wind,"In A Mighty Wind, director Christopher Guest reunites the team from Best In Show and Waiting for Guffman to tell tell the story of 60's-era folk musicians, who inspired by the death of their former manager, get back on the stage for one concert in New York City's Town Hall.",4.672036,2003-04-16,91.0,Released,"Back together for the first time, again.",A Mighty Wind,18750246,"Comedy, Music","mockumentary, folk singer","Bob Balaban, Christopher Guest, John Michael Higgins",Christopher Guest,Castle Rock Entertainment,United States of America,English,
